iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-fuel-transformation,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-fuel-transformation,co2e_20yr,Eastern Cape,47877.6943755169,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,chemicals,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,chemicals,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,chemicals,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,chemicals,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,railways,n2o,Eastern Cape,1.54708097162747,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,railways,co2,Eastern Cape,4571.8267373499,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,railways,ch4,Eastern Cape,0.253544634152011,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,railways,co2e_20yr,Eastern Cape,5014.76766689734,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-transport,n2o,Eastern Cape,0.0026324164967612,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-transport,co2,Eastern Cape,324.557096974705,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-transport,ch4,Eastern Cape,0.0131620706215054,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-transport,co2e_20yr,Eastern Cape,326.344506812787,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-energy-use,n2o,Eastern Cape,22.8690769736019,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-energy-use,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-energy-use,ch4,Eastern Cape,11.5956881514305,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-energy-use,co2e_20yr,Eastern Cape,7184.82789168947,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-degradation,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-degradation,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-degradation,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-degradation,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-manufacturing,n2o,Eastern Cape,10.0749558802618,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-manufacturing,co2,Eastern Cape,68212.6078602125,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-manufacturing,ch4,Eastern Cape,5.36351337046537,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-manufacturing,co2e_20yr,Eastern Cape,71398.5881012057,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,biological-treatment-of-solid-waste-and-biogenic,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,biological-treatment-of-solid-waste-and-biogenic,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,biological-treatment-of-solid-waste-and-biogenic,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,biological-treatment-of-solid-waste-and-biogenic,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-fires,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-fires,co2,Eastern Cape,44385.70445,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-fires,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-fires,co2e_20yr,Eastern Cape,44385.70445,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-onsite-fuel-usage,n2o,Eastern Cape,0.0749945742922925,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-onsite-fuel-usage,co2,Eastern Cape,8601.75887249534,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-onsite-fuel-usage,ch4,Eastern Cape,3.21173861277142,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-onsite-fuel-usage,co2e_20yr,Eastern Cape,8883.02556663418,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-fossil-fuel-operations,n2o,Eastern Cape,4.67142582342922,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-fossil-fuel-operations,co2,Eastern Cape,301631.42688779,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-fossil-fuel-operations,ch4,Eastern Cape,138.167023550237,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-fossil-fuel-operations,co2e_20yr,Eastern Cape,314125.888449865,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,incineration-and-open-burning-of-waste,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,incineration-and-open-burning-of-waste,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,incineration-and-open-burning-of-waste,ch4,Eastern Cape,346.898515108233,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,incineration-and-open-burning-of-waste,co2e_20yr,Eastern Cape,28168.1594267885,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-agricultural-soil-emissions,n2o,Eastern Cape,95.624169843995,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-agricultural-soil-emissions,co2,Eastern Cape,14700.3301980675,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-agricultural-soil-emissions,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,other-agricultural-soil-emissions,co2e_20yr,Eastern Cape,40805.7285654782,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-shipping,n2o,Eastern Cape,1.47262830600851,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-shipping,co2,Eastern Cape,27048.5159457013,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-shipping,ch4,Eastern Cape,3.5027833404,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-shipping,co2e_20yr,Eastern Cape,27736.6082834966,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-shipping,n2o,Eastern Cape,7.7015197728,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-shipping,co2,Eastern Cape,135171.3761104,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-shipping,ch4,Eastern Cape,22.5227843193,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-shipping,co2e_20yr,Eastern Cape,139102.741095102,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-forest-land,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-forest-land,co2,Eastern Cape,-1219184.88333333,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-forest-land,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-forest-land,co2e_20yr,Eastern Cape,-1219184.88333333,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-shrubgrass,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-shrubgrass,co2,Eastern Cape,-1402917.5,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-shrubgrass,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-shrubgrass,co2e_20yr,Eastern Cape,-1402917.5,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-wetland,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-wetland,co2,Eastern Cape,-10161.4671666666,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-wetland,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,net-wetland,co2e_20yr,Eastern Cape,-10161.4671666666,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,removals,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,removals,co2,Eastern Cape,-3635699.43475833,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,removals,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,removals,co2e_20yr,Eastern Cape,-3635699.43475833,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,shrubgrass-fires,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,shrubgrass-fires,co2,Eastern Cape,746368.82175,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,shrubgrass-fires,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,shrubgrass-fires,co2e_20yr,Eastern Cape,746368.82175,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,water-reservoirs,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,water-reservoirs,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,water-reservoirs,ch4,Eastern Cape,189.176347035,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,water-reservoirs,co2e_20yr,Eastern Cape,15361.119379242,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-cattle-pasture,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-cattle-pasture,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-cattle-pasture,ch4,Eastern Cape,3700.463705,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-cattle-pasture,co2e_20yr,Eastern Cape,300477.652846,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-left-on-pasture-cattle,n2o,Eastern Cape,178.480180833333,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-left-on-pasture-cattle,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-left-on-pasture-cattle,ch4,Eastern Cape,119.369795833333,2022
